event_name,supplier_id,supplier_name,score,confidence_score,match_sentence,mentioned_org,mentioned_other_org,index_events,properties_other_mentioned_org,uuid_org
Layoff,1458,Linkedin Corporation,80,56.17086231,['But in Q3 Microsoft issued a warning “In the final weeks of the quarter there was a slowdown in transactional licensing particularly in small and medium businesses and a reduction in advertising spend in LinkedIn ” In Q4 LinkedIn cut about 960 jobs or 6% of its global workforce'],"['LinkedIn', 'Microsoft']",['Microsoft'],0,Microsoft,2506d686-5426-42d4-b642-fc5d925343b0
Layoff,44,Wells Fargo,80,75.37692345,['that Wells was cutting  700 jobs in commercial banking part of an effort that could see tens of thousands of staff reductions'],['Wells'],[],1,,3e683191-c38b-5166-9ae3-8bfc3b975859
Layoff,1094,Saks Fifth Avenue (Inactive - Use Hudsons Bay (US and CDN)),40,60.73454727,[' Saks Fifth Avenue ’s parent company laid off 507 New York workers'],['Saks Fifth Avenue ’s'],['Saks Fifth Avenue ’s'],2,Saks Fifth Avenue ’s,a2fadb10-9952-b057-f52c-76b5b463caeb
Layoff,201,AT And T,40,76.55176805,"['According to the Guardian AT&T has terminated and plans to cut about 37,818 jobs in the United States']","['Guardian', 'ATT']",['Guardian'],3,Guardian,5da6106f-0d27-0d37-e9d7-dcfeccc1f709
Bankruptcy,679,"LSC Communications Inc. US, LLC",100,73.31657906,"[' LSC Communications the US print giant that filed for Chapter 11 bankruptcy protection earlier this year is poised to be sold to private equity group Atlas Holdings', ' LSC Communications the US print giant that filed for Chapter 11 bankruptcy protection earlier this year is poised to be sold to private equity group Atlas Holdings', 'That’s because it turns out that getting books printed will be something of a challenge in a post-pandemic environment given that LSC Communications — one of America ’s two largest printing companies — declared Chapter 11 bankruptcy in April']","['LSC Communications', 'Atlas Holdings']",['Atlas Holdings'],4,Atlas Holdings,ab8b5236-f623-4523-a3b9-5aaa59f57643
Layoff,97,Neiman Marcus,40,85.16901327,"['Finally luxury retailer Neiman Marcus said it will lay off  over 250 employees when it closes its new 180,000-square-foot ( 16,723-square-meter ) store at Hudson Yards in New York City amidst its bankruptcy proceedings', ' Neiman Marcus has brought back most of its furloughed  employees at this point and has currently opened 43 Neiman Marcus stores two Bergdorf Goodman stores and five Last Call stores', ' Neiman Marcus which furloughed  14,000 employees sought $10 million in bankruptcy bonuses for its CEO and other top managers', ' Neiman Marcus which furloughed  14,000 employees sought $10 million in bankruptcy bonuses for its CEO and other top managers', 'WWD reported Thursday ( Sept. 24 ) that Neiman Marcus will lay off an unspecified amount of its approximately 12,000 employees at Neiman and Bergdorf Goodman', ' Neiman Marcus CEO flaunts his mansion then lays off  staff report says']","['Last Call', 'Bergdorf Goodman', 'Neiman Marcus', 'WWD', 'Neiman']","['Last Call', 'Bergdorf Goodman', 'WWD']",5,"Last Call,Bergdorf Goodman,WWD",47e1fff1-b9da-5901-dea2-124087ef1ba3
Bankruptcy,1091,Lord & Taylor (Inactive - Use Hudsons Bay (US and CDN)),50,86.59070526,"['Storied department store chains Neiman Marcus and Lord & Taylor are either planning to file for bankruptcy or weighing bankruptcy protection as an option according to reports by Reuters this week', 'Earlier this week Lord & Taylor announced it is exploring filing for bankruptcy after shutting down its 38 US department stores']","['Lord Taylor', 'Neiman Marcus', 'Reuters']","['Lord Taylor', 'Neiman Marcus', 'Reuters']",6,"Lord Taylor,Neiman Marcus,Reuters",abebf617-5d62-64f0-481c-803909366a00
Layoff,1091,Lord & Taylor (Inactive - Use Hudsons Bay (US and CDN)),40,73.63769028,['The Lord & Taylor store at Tysons laid off  117 employees effective Jan. 31'],['Lord Taylor'],['Lord Taylor'],7,Lord Taylor,abebf617-5d62-64f0-481c-803909366a00
Layoff,1081,"Walmart, Inc.",60,53.85695109,"[' Walmart said it had worked with more than 70 companies that furloughed workers due to the pandemic to hire its 150,000 new employees many of whom came from the restaurant and hospitality industries', ' Walmart said it had worked with more than 70 companies that furloughed workers due to the pandemic to hire its 150,000 new employees many of whom came from the restaurant and hospitality industries']",['Walmart'],[],8,,447ec120-685b-4d39-b266-9d5236a0f903
Bankruptcy,548,FRONTIER COMMUNICATIONS CORPORATION,50,57.43783031,"[' Frontier Communications ( FC ) has confirmed its intention to file for bankruptcy under the US’ Chapter 11', ' Frontier Communications is expected to file for Chapter 11 bankruptcy protection within the next two weeks part of a sweeping restructuring plan that would include swapping about $11.7 billion in debt for equity as well as possibly selling off some assets']",['Frontier Communications FC'],['Frontier Communications FC'],9,Frontier Communications FC,90eba7fe-ddbd-e043-67f8-bdfa0710bfd6
Layoff,47,Verizon,40,65.53583431,"['Last month Verizon reportedly planned to lay off  150 employees from its Media division amid ongoing revenue struggles representing 1.4% of its total workforce leaving it with 10,350 employees']","['Media', 'Verizon']",['Media'],10,Media,e693e2f0-50bb-05ab-8a27-4078f5dacf11
Layoff,97,Neiman Marcus,40,87.6997871,"['Luxury retailer Neiman Marcus will furlough a majority of its 14,000 workers or temporarily cut salaries CEO Geoffroy van Raemdonck said in a statement Gap which had a total workforce of 129,000 as of Feb. 1 also will furlough about 80,000 employees and lay off an undisclosed number of corporate employees']","['Neiman Marcus', 'Gap']",['Gap'],11,Gap,47e1fff1-b9da-5901-dea2-124087ef1ba3
Layoff,47,Verizon,40,65.53583431,"['Last month Verizon reportedly planned to lay off  150 employees from its Media division amid ongoing revenue struggles representing 1.4% of its total workforce leaving it with 10,350 employees']","['Media', 'Verizon']",['Media'],12,Media,e693e2f0-50bb-05ab-8a27-4078f5dacf11
Layoff,148,ADP,80,60.5410727,['On Wednesday payrolls processor ADP reported that private employers in the US cut a record 20.2 million jobs last month - more than double the jobs lost in the aftermath of the 2008 financial crisis'],['ADP'],[],13,,91638d36-44ab-c37f-2821-55046bbc042e
